listing_id,host_id,host_since,name,neighbourhood,district,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
724298,3193594,2012-08-08,Modern apartment with sunny terrace,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,1.0,145.0,1,5.0
563575470521627224,36607755,2015-06-24,Habitación doble con balcón en Gràcia,la Vila de Gràcia,Gràcia,Private room in rental unit,Private room,1.0,32.0,0,
15784194,48341644,2015-11-06,BARCELONA OLYMPIC APARTMENT,la Vila Olímpica del Poblenou,Sant Martí,Entire rental unit,Entire home/apt,2.0,143.0,40,4.63
2228023,2984703,2012-07-18,"Lovely, light  and happy room",Sarrià,Sarrià-Sant Gervasi,Private room in rental unit,Private room,1.0,158.0,0,
1613203,396363,2011-02-17,015. Futbol 3 Apartment,les Corts,Les Corts,Entire rental unit,Entire home/apt,3.0,225.0,9,4.63
13894945,3744544,2012-10-03,Lovely space,la Vila de Gràcia,Gràcia,Entire rental unit,Entire home/apt,1.0,127.0,107,4.58
821115039914169933,499891209,2023-02-06,Amplia habitación en fórum,el Besòs i el Maresme,Sant Martí,Private room in rental unit,Private room,1.0,32.0,0,
11541309,3376710,2012-08-26,Sunny apartment close to Ciutadella,el Fort Pienc,Eixample,Entire rental unit,Entire home/apt,3.0,40.0,0,
45543361,216015084,2018-09-18,Pension Ciudadela - Individual - Tarifa estandar,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Private room in hostel,Private room,1.0,81.0,38,4.84
29528024,183653067,2018-04-11,"Cozy Double room with Terrace, Breakfast Included",la Dreta de l'Eixample,Eixample,Room in boutique hotel,Hotel room,1.0,336.0,6,5.0
21202872,44583806,2015-09-19,Boqueria Market Private spacious room,el Raval,Ciutat Vella,Private room in rental unit,Private room,1.0,35.0,175,4.68
3684919,15231026,2014-05-07,Barcelona-Park Güell Apartment with Private Garden,la Salut,Gràcia,Entire home,Entire home/apt,,115.0,286,4.91
36309056,37032072,2015-06-29,"Habitación nº 4, con baño privado. Sagrada Família",el Camp d'en Grassot i Gràcia Nova,Gràcia,Private room in rental unit,Private room,1.0,20.0,7,5.0
14923468,8130906,2013-08-13,Three bedroom apartment Diagonal,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,3.0,276.0,46,4.67
